Position,N_jobs
Engineering,282
Design,145
Operations,145
Sales and Marketing,218
Software Engineer,214
Frontend Engineer,149
Backend Engineer,156
Full Stack Engineer,174
Mobile Developer,55
QA Engineer,45
DevOps,80
Software Architect,39
Hardware Engineer,11
Mechanical Engineer,6
Systems Engineer,23
UI/UX Designer,109
User Researcher,21
Visual Designer,47
Creative Director,23
Finance/ Accounting,61
Human Resources,43
Office Manager,12
Talent/Recruiting,40
Customer Service,55
Operations Manager,50
Executive Assistant,17
Business Development Representative,56
Sales Development Representative,78
Account Executive,80
Business Development Manager,46
Account Manager,38
Sales Manager,48
Marketer,44
Marketing Manager,68
Growth,60
Customer Success,70
Business Analyst,37
Data Scientist,77
Product Manager,110
Project Manager,23
Attorney,11
